Moon,People_total,msq,Date,Time
Olekukolu,NA,8059.53,20220707,0.00
Olekukolu,NA,8059.53,20220707,0.00
Olekukolu,NA,8059.53,20220707,0.00
Olekukolu,NA,8059.53,20220707,4.00
Olekukolu,NA,8059.53,20220707,4.00
Olekukolu,NA,8059.53,20220707,4.00
Olekukolu,8.00,8059.53,20220707,8.00
Olekukolu,8.00,8059.53,20220707,8.00
Olekukolu,8.00,8059.53,20220707,8.00
Olekukolu,35.00,8059.53,20220707,9.00
Olekukolu,52.00,8059.53,20220707,10.00
Olekukolu,60.00,8059.53,20220707,11.00
Olekukolu,57.00,8059.53,20220707,12.00
Olekukolu,57.00,8059.53,20220707,12.00
Olekukolu,57.00,8059.53,20220707,12.00
Olekukolu,46.00,8059.53,20220707,13.00
Olekukolu,62.00,8059.53,20220707,14.00
Olekukolu,65.00,8059.53,20220707,15.00
Olekukolu,77.00,8059.53,20220707,16.00
Olekukolu,77.00,8059.53,20220707,16.00
Olekukolu,77.00,8059.53,20220707,16.00
Olekukolu,80.00,8059.53,20220707,17.00
Olekukolu,75.00,8059.53,20220707,18.00
Olekukolu,32.00,8059.53,20220707,19.00
Olekukolu,6.00,8059.53,20220707,20.00
Olekukolu,6.00,8059.53,20220707,20.00
Olekukolu,6.00,8059.53,20220707,20.00
Olekukolu,NA,8059.53,20220707,24.00
Olekukolu,NA,8059.53,20220707,24.00
Olekukolu,NA,8059.53,20220707,24.00
